PPepDB-ID	Peptide Name	Plant Source	Peptide Family	Peptide Activity	Sequence Length	Molecular Weight	Validation	PMID/DOI
PPepDB_1505	Osmotin 81 (Fragment)	Solanum tuberosum	Thaumatin	Antimicrobial	179	19034.43	Predicted	--NA--
PPepDB_1506	Osmotin 81 (Fragment)	Solanum tuberosum	Thaumatin	Antimicrobial	179	19156.49	Predicted	--NA--
PPepDB_1507	Osmotin 81 (Fragment)	Solanum tuberosum	Thaumatin	Antimicrobial	188	20216.91	Predicted	--NA--
PPepDB_1508	Osmotin 81 (Fragment)	Solanum tuberosum	Thaumatin	Antimicrobial	180	19429.1	Predicted	--NA--
PPepDB_1509	Osmotin 81 (Fragment)	Solanum tuberosum	Thaumatin	Antimicrobial	179	19302.9	Predicted	--NA--
PPepDB_1510	Osmotin 81 (Fragment)	Solanum tuberosum	Thaumatin	Antimicrobial	178	19053.57	Predicted	--NA--
PPepDB_1511	Osmotin 81 (Fragment)	Solanum tuberosum	Thaumatin	Antimicrobial	180	19343.01	Predicted	--NA--
PPepDB_1512	Osmotin 81 (Fragment)	Solanum tuberosum	Thaumatin	Antimicrobial	179	19150.73	Predicted	--NA--
PPepDB_1513	Osmotin 81 (Fragment)	Solanum tuberosum	Thaumatin	Antimicrobial	178	19062.49	Predicted	--NA--
PPepDB_1517	Cyclotide protein Mra20 (Fragment)	Melicytus ramiflorus	Cyclotide	Antimicrobial	94	9803.39	Experimental evidence at transcript level	--NA--
PPepDB_1520	Cyclotide Oak9 (Fragment)	Oldenlandia affinis	Cyclotide	Antimicrobial	128	13875.16	Experimental evidence at transcript level	20564018
PPepDB_1521	Cyclotide Oak8 (Fragment)	Oldenlandia affinis	Cyclotide	Antimicrobial	141	14935.46	Experimental evidence at transcript level	20564018
PPepDB_1522	Thionin (Fragment)	Brassica juncea	Thionin	Antimicrobial	127	13411.23	Experimental evidence at transcript level	--NA--
PPepDB_1523	Pathogenesis-related thaumatin superfamily protein isoform 4 (Fragment)	Theobroma cacao	Thaumatin	Antimicrobial	255	26208.89	Predicted	--NA--
PPepDB_1524	Cyclotide chassatide C7 (Fragment)	Chassalia chartacea	Cyclotide	Antimicrobial	64	6926.12	Experimental evidence at protein level	22467870
PPepDB_1526	Endochitinase	Avena sativa	--NA--	Antifungal	200	21728.18	Experimental evidence at protein level	19224400
PPepDB_1531	Cyclotide protein Mra21 (Fragment)	Melicytus ramiflorus	Cyclotide	Antimicrobial	92	9613.17	Experimental evidence at transcript level	--NA--
PPepDB_1532	Osmotin 81 (Fragment)	Solanum tuberosum	Thaumatin	Antimicrobial	198	21167	Predicted	--NA--
PPepDB_1533	Non-specific lipid-transfer protein 6	Lens culinaris	Lipid-transfer protein	Antibacterial	93	9278.66	Experimental evidence at protein level	17511608
PPepDB_1534	Non-specific lipid-transfer protein 4	Lens culinaris	Lipid-transfer protein	Antibacterial	92	9130.5	Experimental evidence at protein level	17511608
PPepDB_1537	Ha-DEF1	Helianthus annuus	Defensin	Antifungal	50	5599.29	Experimental evidence at protein level	17375322
PPepDB_1543	Snakin-1	Solanum tuberosum	Snakin	Antibacterial, Antifungal	63	6934.09	Experimental evidence at protein level	9885189
PPepDB_1546	MiAMP2d	Macadamia integrifolia	--NA--	Antimicrobial, Antifungal	63	7690.27	Experimental evidence at protein level	10571855
PPepDB_1551	Brazzein	Pentadiplandra brazzeana	Defensin	Antibacterial, Antifungal	54	6498.32	Experimental evidence at protein level	15118082
PPepDB_1554	CcD1	Capsicum chinense	Defensin	Antifungal	50	5769.74	Experimental evidence at protein level	16794772
PPepDB_1562	LTP110	Oryza sativa	Lipid-transfer protein	Antibacterial, Antifungal	92	9365.62	Experimental evidence at protein level	14659081
PPepDB_1563	Sm-AMP-D1	Stellaria media	Defensin	Antimicrobial, Antifungal	50	5763.49	Experimental evidence at protein level	21056078
PPepDB_1640	Non-specific lipid-transfer protein 5	Lens culinaris	Lipid-transfer protein	Antibacterial	92	9148.54	Protein inferred from homology	17511608
PPepDB_1641	Non-specific lipid-transfer protein 2	Lens culinaris	Lipid-transfer protein	Antibacterial	92	9144.53	Experimental evidence at protein level	17511608
PPepDB_1643	Cysteine-rich antifungal protein 2B	Sinapis alba	Defensin	Antifungal	52	5855.76	Experimental evidence at protein level	8836771
PPepDB_1644	Probable cysteine-rich antifungal protein, Rs-AFP At2g26010	Arabidopsis thaliana	Defensin	Antifungal	51	5540.37	Experimental evidence at transcript level	10617197
PPepDB_1645	Low-molecular cysteine-rich antifungal protein LCR77 , cysteine-rich antifungal protein At2g26020	Arabidopsis thaliana	Defensin	Antifungal	51	5492.33	Experimental evidence at protein level	11437247, 14593172, 10470850, 8989885
PPepDB_1646	Cysteine-rich antifungal protein 2 (Sa-AFP2)	Sinapis alba, Brassica hirta	Defensin	Antifungal	51	5721.58	Experimental evidence at protein level	8422949, 8836771
PPepDB_1647	Snakin-1	Solanum tuberosum	Snakin	Antibacterial, Antifungal	63	6907.07	Experimental evidence at protein level	11891250
PPepDB_2030	White cloud bean defensin	Phaseolus vulgaris	Knottin	Antibacterial, Antiviral, Anticancer, Antifungal	75	8659.02	Protein inferred from homology	16687191
PPepDB_2031	AB2, red bean antifungal peptide, Putative defensin 3.1	Adzuckia angularia, Medicago sativa	Defensin	Antiviral, Antifungal	72	8203.58	Predicted	11444860
PPepDB_2032	PTA2c, pinto bean antifungal peptide, Defensin D1	Phaseolus vulgaris	Defensin	Antiviral, Antifungal	75	8557.88	Experimental evidence at transcript level	11444860
PPepDB_2043	ZmESR-6	Zea mays	Defensin	Antifungal, Antibacterial	52	5516.51	Experimental evidence at protein level	16027978
PPepDB_2044	Defensin-like protein 1 / Rs-AFP1	Raphanus sativus, Sinapis alba, Brassica juncea, Brassica rapa subsp. pkinensis	Defensin	Antibacterial, Antifungal, Hemolytic, Cytotoxic	51	5677.75	Experimental evidence at protein level	8422949, 1639777
PPepDB_2045	Defensin-like protein 13/At-AFP1	Arabidopsis thaliana	Defensin	Antibacterial, Antifungal	51	5650.72	Experimental evidence at protein level	8422949
PPepDB_2046	Defensin-like protein 4	Raphanus sativus	Defensin	Antifungal	51	5730.73	Protein inferred from homology	7780308
PPepDB_2047	Defensin-like protein / 2 Rs-AFP2	Raphanus sativus	Defensin	Antibacterial, Antifungal	51	5718.85	Experimental evidence at protein level	7628617, 8422949, 1639777
PPepDB_2048	Defensin-like protein 2A/Sa-AFP2	Sinapis alba	Defensin	Antibacterial, Antifungal	51	5729.03	Experimental evidence at protein level	8422949
PPepDB_2065	Nodule-specific cysteine-rich peptide 335, NCR335	Medicago truncatula	Nodule-specific cysteine-rich peptide	Antibacterial, Antifungal	64	7736.22	Experimental evidence at transcript level	28167938, 25243129
PPepDB_2073	Proteinase inhibitor PSI-1.2, HyPep	Capsicum annuum	Protease inhibitor I20	Antifungal, Serine-protease-inhibitor	52	5603.58	Experimental evidence at protein level	25750185
PPepDB_2077	Defensin AFP1 / Hs-AFP1	Heuchera sanguinea	Defensin	Antibacterial, Antifungal, Antibiofilm	54	5948.71	Experimental evidence at protein level	7628617, 24092498, doi.org/10.1371/journal.pone.0132701
PPepDB_2079	Puroindoline-A, PINA	Triticum aestivum, Aegilops tauschii x Triticum turgidum, Secale cereale, Aegilops tauschii, Aegilops tauschii var. meyeri, Aegilops ventricosa, Avena hirtula, Avena strigosa	Puroindoline-A	Antibacterial	118	13092.04	Experimental evidence at protein level	16240178
PPepDB_2080	Puroindoline-B, PINB	Triticum aestivum, Aegilops tauschii	Puroindoline-B	Antibacterial, Antifungal	119	13601.71	Experimental evidence at protein level	12668449, 16240178
PPepDB_2085	Cy-AMP3	Cycas revoluta	Defensin	Antibacterial, Antifungal	90	9107.43	Experimental evidence at protein level	18778743
PPepDB_2086	Sugarcane defensin 5, Sd5	Saccharum officinarum	Defensin	Antibacterial, Antifungal	71	7967.16	Experimental evidence at protein level	18618271
PPepDB_2087	Defensin Sm-AMP-D2	Stellaria media	Defensin	Antifungal, Antimicrobial	50	5762.51	Experimental evidence at protein level	21056078
PPepDB_2088	Ac-AFP4	Heliophila coronopifolia	Knottin	Antifungal	51	5735.61	Experimental evidence at transcript level	22032337
PPepDB_2089	Hc-AFP2	Heliophila coronopifolia	Knottin	Antifungal	51	5722.56	Experimental evidence at transcript level	22032337
PPepDB_2091	Sugarcane defensin 3, Sd3	Saccharum officinarum	Defensin	Antibacterial, Antifungal	51	5864.77	Experimental evidence at protein level	18618271
PPepDB_2092	Hc-AFP1	Heliophila coronopifolia	Knottin	Antifungal	50	5483.16	Experimental evidence at transcript level	22032337
PPepDB_2093	Hc-AFP3	Heliophila coronopifolia	Knottin	Antifungal	50	5528.19	Experimental evidence at transcript level	22032337
PPepDB_2102	Pg-AMP1, Glycine-rich antimicrobial peptide Pg-AMP	Psidium guajava	Glycine-rich antimicrobial peptide Pg-AMP	Antibacterial, Antifungal	55	6029.34	Experimental evidence at protein level	18448201
PPepDB_2134	Defensin D2, So-D2	Spinacia oleracea	Defensin	Antibacterial, Antifungal	52	5803.73	Experimental evidence at protein level	9762899
PPepDB_2148	Defensin D2, Ns-D2	Nigella sativa	Defensin	Antibacterial, Antifungal	50	5503.31	Experimental evidence at protein level	21144761
PPepDB_2149	Defensin D1, Ns-D1	Nigella sativa	Defensin	Antimicrobial, Antifungal	50	5487.27	Experimental evidence at protein level	21144761
PPepDB_2152	Defensin-1, PsDef1	Pinus sylvestris	Defensin	Antibacterial, Antifungal, Enzyme-inhibitor	50	5601.52	Experimental evidence at protein level	20957359, 19683554
PPepDB_2175	Defensin AMP2 / DmAMP2	Dahlia merckii	Defensin	Antibacterial, Antifungal	50	5525.17	Experimental evidence at protein level	7628617, 14604982, 10656585, 10931938, 13129623, 17216480
PPepDB_2181	Antimicrobial protein Ace-AMP1	Allium cepa	Lipid-transfer protein	Antibacterial, Antifungal, Hemolytic, Cytotoxic	93	10844.78	Experimental evidence at protein level	7480341, 9521681
PPepDB_2184	Vicilin-like Antimicrobial peptide 2c-3 / MiAMP2c-3	Macadamia integrifolia	Vicilin	Antibacterial, Antifungal	67	8864.62	Experimental evidence at protein level	10571855
PPepDB_2187	MiAMP1	Macadamia integrifolia	Beta-Barrelin, Defensin	Antibacterial, Antifungal, Antiyeast	76	8138.05	Experimental evidence at protein level	10543955, 9108242
PPepDB_2188	Snakin-2	Solanum tuberosum	Snakin	Antibacterial, Antifungal	66	7037.14	Experimental evidence at protein level	11891250
PPepDB_2220	Defensin-like protein 3, Rs-AFP3 , Br-AFP2 , Bn-AFP1	Raphanus sativus, Brassica napus, Brassica oleracea var. gemmifera, Brassica rapa	Defensin	Antimicrobial, Antifungal	50	5499.28	Experimental evidence at protein level	7780308
PPepDB_2221	Defensin-like protein 1, Defensin AMP1, Ah-Amp1	Aesculus hippocastanum	Defensin	Antibacterial, Antifungal	50	5863.48	Experimental evidence at protein level	10591099, 7628617
PPepDB_2227	SPI1	Picea abies, Picea excelsa	Defensin	--NA--	83	8835.39	Experimental evidence at transcript level	--NA--
PPepDB_2228	SPI1B	Picea abies, Picea excelsa	Defensin	--NA--	83	8888.46	Experimental evidence at transcript level	--NA--
PPepDB_2229	PDF1.2b	Arabidopsis thaliana	Defensin	--NA--	80	8640.16	Experimental evidence at protein level	--NA--
PPepDB_2230	PDF1.2	Arabidopsis thaliana	Defensin	--NA--	76	8233.72	Protein inferred from homology	--NA--
PPepDB_2231	Def1.2	Brassica napus	Defensin	--NA--	75	8270.7	Experimental evidence at transcript level	--NA--
PPepDB_2232	PDF1.5	Arabidopsis thaliana	Defensin	--NA--	80	9139.47	Experimental evidence at protein level	--NA--
PPepDB_2233	PDF1.2c	Arabidopsis thaliana	Defensin	--NA--	76	8265.72	Experimental evidence at protein level	--NA--
PPepDB_2234	LCR67	Arabidopsis thaliana	Defensin	--NA--	76	8424.91	Experimental evidence at protein level	--NA--
PPepDB_2235	PDF1.3	Arabidopsis thaliana	Defensin	--NA--	74	8153.63	Experimental evidence at protein level	--NA--
PPepDB_2236	PhD2	Petunia hybrida	Defensin	Antimicrobial	99	10906.87	Experimental evidence at protein level	--NA--
PPepDB_2237	NaD1	Nicotiana alata	Defensin	--NA--	105	11721.92	Experimental evidence at protein level	--NA--
PPepDB_2238	EGAD1	Elaeis guineensis	Defensin	Antimicrobial	77	8698.24	Experimental evidence at transcript level	12021286
PPepDB_2239	LCR19	Arabidopsis thaliana	Defensin	--NA--	126	13383.38	Experimental evidence at transcript level	--NA--
PPepDB_2240	VrD2	Vigna radiata	Defensin	--NA--	75	8630.96	Experimental evidence at protein level	17444520
PPepDB_2241	LCR74	Arabidopsis thaliana	Defensin	--NA--	71	8245.53	Experimental evidence at protein level	--NA--
PPepDB_2242	LCR80	Arabidopsis thaliana	Defensin	--NA--	122	13122.07	Experimental evidence at transcript level	--NA--
PPepDB_2243	LCR58	Arabidopsis thaliana	Defensin	--NA--	127	13624.52	Protein inferred from homology	--NA--
PPepDB_2244	LCR57	Arabidopsis thaliana	Defensin	--NA--	120	12925.93	Protein inferred from homology	--NA--
PPepDB_2245	LCR59	Arabidopsis thaliana	Defensin	--NA--	129	13862.82	Experimental evidence at transcript level	--NA--
PPepDB_2246	LCR70	Arabidopsis thaliana	Defensin	Protease-inhibitor	77	8578.05	Experimental evidence at transcript level	--NA--
PPepDB_2247	LCR73	Arabidopsis thaliana	Defensin	--NA--	80	8985.58	Protein inferred from homology	--NA--
PPepDB_2248	LCR72	Arabidopsis thaliana	Defensin	Protease-inhibitor	73	7718.14	Protein inferred from homology	--NA--
PPepDB_2249	LCR69	Arabidopsis thaliana	Defensin	Protease-inhibitor	77	8524.07	Experimental evidence at transcript level	--NA--
PPepDB_2250	LCR68	Arabidopsis thaliana	Defensin	Protease-inhibitor	77	8544.07	Experimental evidence at transcript level	--NA--
PPepDB_2251	LCR76	Arabidopsis thaliana	Defensin	--NA--	86	9682.66	Protein inferred from homology	--NA--
PPepDB_2252	LCR75	Arabidopsis thaliana	Defensin	--NA--	82	9304.11	Experimental evidence at transcript level	--NA--
PPepDB_2253	Defensin	Zea mays	Defensin	--NA--	105	11052.88	Experimental evidence at transcript level	--NA--
PPepDB_2255	SD2	Helianthus annuus	Defensin	Antimicrobial, Antifungal	58	6444.31	Experimental evidence at transcript level	--NA--
PPepDB_2256	LCR78_ARATH	Arabidopsis thaliana	Defensin	Antimicrobial, Signaling-peptide	78	8840.28	Protein inferred from homology	--NA--
PPepDB_2259	Putative Rapid alkalinization factor 4, RALF1	Solanum chacoense	--NA--	RALF-Rapid-alkalinization-factor	50	5346.08	Experimental evidence at protein level	15293049
PPepDB_2300	Rapid alkalinization factor, AtRALF23	Arabidopsis thaliana	--NA--	RALF-Rapid-alkalinization-factor	50	5718.48	Experimental evidence at protein level	--NA--
PPepDB_2347	Ole e 6 allergen	Olea europaea	--NA--	Allergen	50	5833.49	Experimental evidence at protein level	9237648
PPepDB_2348	Defensin-like peptide 157	Arabidopsis thaliana	Defensin	Antimicrobial	50	5438.16	Experimental evidence at protein level	--NA--
PPepDB_2378	Defensin-like peptide 161	Arabidopsis thaliana	Defensin	Antimicrobial	50	5506.09	Experimental evidence at protein level	--NA--
PPepDB_2406	Defensin-like peptide 91	Arabidopsis thaliana	Defensin	Antimicrobial	50	5421.41	Experimental evidence at protein level	15955924
PPepDB_2410	Defensin-like peptide 162	Arabidopsis thaliana	Defensin	Antimicrobial	50	5413.31	Experimental evidence at protein level	--NA--
PPepDB_2529	Defensin-like peptide 119	Arabidopsis thaliana	Defensin	Antimicrobial	50	5712.76	Experimental evidence at protein level	15955924
PPepDB_2531	Defensin-like peptide 121	Arabidopsis thaliana	Defensin	Antimicrobial	50	5667.56	Experimental evidence at protein level	--NA--
PPepDB_2532	Rapid alkalinization factor sac-RALF1	Saccharum spp.	--NA--	RALF-Rapid-alkalinization-factor	50	5579.28	Experimental evidence at protein level	20148351
PPepDB_2536	Defensin-like peptide 128	Arabidopsis thaliana	Defensin	Antimicrobial	50	5667.6	Experimental evidence at protein level	--NA--
PPepDB_2538	Defensin-like peptide 74	Arabidopsis thaliana	Defensin	Antimicrobial	50	5600.52	Experimental evidence at protein level	15955924
PPepDB_2570	Defensin-like peptide 312	Arabidopsis thaliana	Defensin	Antimicrobial	50	5863.81	Experimental evidence at protein level	--NA--
PPepDB_2582	Defensin-like peptide 159	Arabidopsis thaliana	Defensin	Antimicrobial	50	5339.1	Experimental evidence at protein level	--NA--
PPepDB_2598	Defensin-like peptide 35	Arabidopsis thaliana	Defensin	Antimicrobial	50	5474.22	Experimental evidence at protein level	15955924
PPepDB_2605	Antimicrobial peptide 5	Vitis vinifera	--NA--	Antimicrobial, Antibacterial, Antifungal	50	5577.4	Experimental evidence at protein level	17721507
PPepDB_2617	Putative Rapid alkalinization factor 1, RALF1	Solanum chacoense	--NA--	RALF-Rapid-alkalinization-factor	50	5588.46	Experimental evidence at protein level	15293049
PPepDB_2665	Male flower-specific peptide 1	Silene latifolia	--NA--	Development-regulator	50	6056.14	Experimental evidence at protein level	--NA--
PPepDB_2728	Anti-HIV peptide, Treculavirin	Treculia obovoidea	--NA--	Antiviral	50	5194.62	Experimental evidence at protein level	15178338
PPepDB_2756	Rapid alkalinization factor, sacRALF1	Saccharum officinarum	--NA--	RALF-Rapid-alkalinization-factor	50	5319.78	Experimental evidence at protein level	--NA--
PPepDB_2808	Putative gamma-thionin	Picea abies	Thionin	Antimicrobial	50	5377.16	Experimental evidence at protein level	8790304
PPepDB_2848	Defensin-like peptide 270	Arabidopsis thaliana	Defensin	Antimicrobial	50	5555.51	Experimental evidence at protein level	--NA--
PPepDB_2876	Defensin-like peptide 62	Arabidopsis thaliana	Defensin	Antimicrobial	50	5924.81	Experimental evidence at protein level	15955924
PPepDB_3110	Hs-AFP 1	Heuchera sanguinea	--NA--	Antimicrobial	52	5721.4	Experimental evidence at protein level	7628617
PPepDB_3111	HsAFP1	Heuchera sanguinea	Defensin	Antimicrobial	50	5433.07	Experimental evidence at protein level	23412850
PPepDB_3143	Dm-AMP1	Dahlia merckii	--NA--	Antimicrobial	50	5531.12	Experimental evidence at protein level	7628617
PPepDB_3342	StAsp-PSI	Solanum tuberosum	--NA--	Antimicrobial, Cytotoxic	105	11537.25	Experimental evidence at protein level	20153392
PPepDB_3366	MtDef5A	Medicago truncatula	Defensin	Antimicrobial, Antibacterial, Antifungal	50	5633.56	Experimental evidence at protein level	29867843
PPepDB_3370	Rs-AFP3	Raphanus sativus	--NA--	Antifungal	50	5564.82	Experimental evidence at protein level	7780308
PPepDB_3449	TcAMP1b	Theobroma cacao	--NA--	Antifungal	59	7494.96	Experimental evidence at protein level	doi.org/10.1080/07352689.2013.773238
PPepDB_3476	PsDef1	Pinus sylvestris	--NA--	Antimicrobial, Antifungal	81	8750.42	Experimental evidence at protein level	19683554
PPepDB_3477	BrD1	Brassica rapa	Defensin	Insecticidal	80	8864.38	Experimental evidence at protein level	19714315
PPepDB_3478	PaDef	Persea americana var. drymifolia	Defensin	Antimicrobial	78	8663.35	Experimental evidence at protein level	24319695
PPepDB_3484	Fabatin-1	Nicotiana attenuata	Defensin	Antimicrobial	75	8402.94	Experimental evidence at protein level	25604123
PPepDB_3486	Polypeptide-P	Momordica charantia	--NA--	Hypoglycemic	172	18511.74	Experimental evidence at protein level	7334382
PPepDB_3487	Jaburetox	Canavalia ensiformis	urease	Insecticidal, Antifungal	99	10951.14	Experimental evidence at protein level	22922160
PPepDB_3496	DEF2	Solanum lycopersicum	Defensin	Antimicrobial	50	5587.47	Experimental evidence at protein level	23412850
PPepDB_3498	Pg-AMP1	Psidium guajava	--NA--	Antibacterial	62	6983.38	Experimental evidence at protein level	22841855
PPepDB_3501	Esculentin-1	Nicotiana attenuata	esculentin	Antimicrobial	75	7902.58	Experimental evidence at protein level	25604123
PPepDB_3502	Spheniscin-2	Nicotiana attenuata	avian Defensin	Antibacterial, Antifungal	67	7625.23	Experimental evidence at protein level	25604123
PPepDB_3504	Purothionin	Triticum aestivum	Thionin	Antifungal	63	6794.22	Experimental evidence at protein level	15186454
PPepDB_3531	12Lac	Oryza sativa	--NA--	Antihypertensive	65	7110.77	Experimental evidence at protein level	17309726
PPepDB_3533	12LacQR	Oryza sativa	--NA--	Antihypertensive	94	11061.28	Experimental evidence at protein level	17309726
PPepDB_3857	Rs-AFP2	Raphanus sativus	Defensin	Antifungal	51	5735.65	Experimental evidence at protein level	7780308, 26592804, 14604982, 1639777, 9636715
PPepDB_3861	Hv-LTP2 (B-FABP)	Hordeum vulgare	Lipid-transfer protein	--NA--	67	6987.99	Experimental evidence at transcript level	7849757
PPepDB_3862	La-LTP (LJAFP)	Leonurus artemisia	Lipid-transfer protein	Antibacterial, Antifungal	91	9125.64	Experimental evidence at transcript level	--NA--
PPepDB_3863	Ta-LTP4	Triticum aestivum	Lipid-transfer protein	--NA--	90	8740.07	Experimental evidence at transcript level	--NA--
PPepDB_3864	Lc-LTP4	Lens culinaris	Lipid-transfer protein	Antibacterial	93	9277.68	Experimental evidence at protein level	17511608
PPepDB_3865	Lc-LTP2	Lens culinaris	Lipid-transfer protein	Antibacterial	93	9291.71	Experimental evidence at protein level	17511608
PPepDB_3866	Zm-LTP1	Zea mays subsp. Parviglumis	Lipid-transfer protein	--NA--	93	9068.19	Protein inferred from homology	16120802
PPepDB_3867	Zm-LTP2	Zea mays subsp. Parviglumis	Lipid-transfer protein	--NA--	93	9026.15	Protein inferred from homology	16120802
PPepDB_3868	Zm-LTP (Allergen Zea m 14)	Zea mays	Lipid-transfer protein	--NA--	93	9054.16	Experimental evidence at protein level	3182817, 2022320, 8026483, 7735835, 8845747
PPepDB_3869	Ta-LTP3	Triticum aestivum	Lipid-transfer protein	--NA--	90	8730.04	Experimental evidence at transcript level	--NA--
PPepDB_3870	Sc-LTP2	Secale cereale	Lipid-transfer protein	--NA--	90	9098.48	Experimental evidence at transcript level	16823370
PPepDB_3871	Sv-LTP1	Sorghum bicolor, Sorghum vulgare	Lipid-transfer protein	--NA--	93	9191.38	Experimental evidence at protein level	7958959
PPepDB_3872	Hv-LTP4.2 (LTP 4.2)	Hordeum vulgare	Lipid-transfer protein	--NA--	90	8691.1	Experimental evidence at protein level	8804389
PPepDB_3873	Ta-LTP1	Triticum aestivum	Lipid-transfer protein	--NA--	90	8624.89	Experimental evidence at transcript level	--NA--
PPepDB_3874	Ta-LTP2	Triticum aestivum	Lipid-transfer protein	--NA--	90	8804.16	Experimental evidence at transcript level	16983534
PPepDB_3875	Lc-LTP1	Lens culinaris	Lipid-transfer protein	Antibacterial	93	9358.89	Protein inferred from homology	17511608
PPepDB_3876	Gh-LTP6	Gossypium hirsutum, Gossypium mexicanum	Lipid-transfer protein	--NA--	94	10118.81	Experimental evidence at transcript level	9030188
PPepDB_3877	Os-LTP (Os11g02379)	Oryza sativa subsp. Japonica	Lipid-transfer protein	--NA--	92	8966.22	Protein inferred from homology	--NA--
PPepDB_3878	Zm-LTP3	Zea mays	Lipid-transfer protein	--NA--	93	9087.23	Experimental evidence at transcript level	--NA--
PPepDB_3879	Sc-LTP1	Secale cereale	Lipid-transfer protein	--NA--	90	8929.25	Experimental evidence at transcript level	16823370
PPepDB_3880	Fa-LTP6	Fragaria ananassa	Lipid-transfer protein	--NA--	92	9291.69	Experimental evidence at transcript level	--NA--
PPepDB_3881	Nt-LTP1	Nicotiana tabacum	Lipid-transfer protein	--NA--	91	9172.63	Experimental evidence at protein level	1302637, 8883375, 15356262, 15726627
PPepDB_3882	Rc-LTP C (CB-C)	Ricinus communis	Lipid-transfer protein	--NA--	92	9593.2	Experimental evidence at protein level	3191918, 1783615
PPepDB_3883	Rc-LTP D (CB-D)	Ricinus communis	Lipid-transfer protein	--NA--	92	9495.09	Protein inferred from homology	--NA--
PPepDB_3884	Lc-LTP3	Lens culinaris	Lipid-transfer protein	Antibacterial	93	9243.62	Experimental evidence at protein level	17511608
PPepDB_3885	At-LTP6	Arabidopsis thaliana	Lipid-transfer protein	--NA--	94	9883.36	Protein inferred from homology	11130713, 14593172, 10940464
PPepDB_3886	Sv-LTP2	Sorghum bicolor, Sorghum vulgare	Lipid-transfer protein	--NA--	93	9212.45	Protein inferred from homology	7958959
PPepDB_3887	GASA-like 2	Arabidopsis thaliana	Snakin	--NA--	64	6905.74	Experimental evidence at transcript level	--NA--
PPepDB_3888	LCR74	Arabidopsis thaliana	Defensin	--NA--	54	6153.01	Experimental evidence at protein level	11437247, 9330910
PPepDB_3889	LCR73	Arabidopsis thaliana	Defensin	--NA--	57	6451.33	Experimental evidence at protein level	10617197, 11437247, 15955924
PPepDB_3890	So-LTP	Spinacia oleracea	Lipid-transfer protein	--NA--	91	8865.41	Experimental evidence at protein level	3609015, 16667945
PPepDB_3891	GASA-like 3	Arabidopsis thaliana	Snakin	--NA--	66	7452.94	Experimental evidence at transcript level	--NA--
PPepDB_3892	GASA5	Arabidopsis thaliana	Snakin	--NA--	66	7468.94	Experimental evidence at transcript level	7792599
PPepDB_3894	GAST1	Solanum lycopersicum, Lycopersicon esculentum	Snakin	--NA--	66	7475.85	Experimental evidence at transcript level	1302047
PPepDB_3895	GAST-like 4	Picea sitchensis	Snakin	--NA--	66	7278.53	Experimental evidence at transcript level	--NA--
PPepDB_3896	Gasa4-like	Pelargonium zonale	Snakin	--NA--	66	7473.79	Experimental evidence at transcript level	--NA--
PPepDB_3897	GAST1-like (109761-110213)	Arabidopsis thaliana	Snakin	--NA--	66	7363.63	Protein inferred from homology	--NA--
PPepDB_3898	GASA	Fagus sylvatica	Snakin	--NA--	66	7496.87	Experimental evidence at transcript level	--NA--
PPepDB_3899	GASA2-like	Pelargonium zonale	Snakin	--NA--	66	7401.66	Experimental evidence at transcript level	--NA--
PPepDB_3900	GASA5-like	Picea mariana	Snakin	--NA--	66	7283.55	Experimental evidence at transcript level	--NA--
PPepDB_3901	OsGAST1	Oryza sativa subsp. Japonica	Snakin	--NA--	66	7246.28	Predicted	15685292, 16109971
PPepDB_3903	GEG protein	Gerbera hybrida	Snakin	--NA--	66	7063.33	Experimental evidence at transcript level	10368180
PPepDB_3905	IWF2 (Bv-LTP2)	Beta vulgaris	Lipid-transfer protein	Antifungal	91	9000.47	Experimental evidence at protein level	8790287
PPepDB_3906	Os-LTP (OsI_034711)	Oryza sativa subsp. Indica	Lipid-transfer protein	--NA--	92	9147.47	Protein inferred from homology	15685292
PPepDB_3907	ZmGASA-like	Zea mays	Snakin	--NA--	67	7053.18	Experimental evidence at transcript level	16855589
PPepDB_3928	Hv-LTP1	Hordeum vulgare	Lipid-transfer protein	--NA--	91	9694.96	Protein inferred from homology	--NA--
PPepDB_3929	At-LTP	Arabidopsis thaliana	Lipid-transfer protein	--NA--	87	9281.92	Protein inferred from homology	--NA--
PPepDB_3930	Pa-LTP1	Phaseolus aureus, Vigna radiata	Lipid-transfer protein	Antibacterial, Antifungal	91	9298.73	Experimental evidence at protein level	15350690, 15823028
PPepDB_3933	Gamma-thionin1	Wasabia japonica	Defensin	--NA--	51	5719.51	Experimental evidence at transcript level	11204773
PPepDB_3935	LCR76	Arabidopsis thaliana	Defensin	--NA--	57	6530.68	Protein inferred from homology	10617197, 11437247
PPepDB_3936	LCR75	Arabidopsis thaliana	Defensin	--NA--	53	6135.3	Experimental evidence at protein level	10617197, 11437247
PPepDB_3937	GASA-like protein	Gymnadenia conopsea	Snakin	--NA--	66	7361.47	Experimental evidence at transcript level	--NA--
PPepDB_3938	LTCOR12 (Cold-regulated)	Lavatera thuringiaca	Snakin	--NA--	66	6932.13	Experimental evidence at transcript level	--NA--
PPepDB_3940	GAST-like (FaGAST)	Fragaria ananassa	Snakin	--NA--	66	6949.2	Experimental evidence at transcript level	--NA--
